Name,Size,Unit,MRP,Price,Brand_Name,Rating,Num_Rating,Benefit_area,Url
ADEL 1 Apo-Dolor Drop,20,ml,295,259,ADEL,4.699999809,31,ear,/otc/adel-1-apo-dolor-drop-otc326144
ADEL 14 Ferrodona Drop,20,ml,295,231,ADEL,4.599999905,18,blood,/otc/adel-14-ferrodona-drop-otc326106
ADEL 16 Gastul Drop,20,ml,295,246,ADEL,4.699999809,25,liver,/otc/adel-16-gastul-drop-otc327732
ADEL 17 Glautaract Drop,20,ml,295,246,ADEL,4.599999905,74,eye,/otc/adel-17-glautaract-drop-otc326103
ADEL 18 Glucorect Drop,20,ml,295,246,ADEL,4.400000095,75,blood,/otc/adel-18-glucorect-drop-otc327731
ADEL 21 Proscenat Drop,20,ml,295,246,ADEL,4.5,47,hair,/otc/adel-21-proscenat-drop-otc326098
ADEL 28 Plevent Drop,20,ml,295,259,ADEL,4.599999905,74,ear,/otc/adel-28-plevent-drop-otc326092
ADEL 32 Opsonat Drop,20,ml,295,260,ADEL,0,0,skin,/otc/adel-32-opsonat-drop-otc326087
ADEL 33 Apo-Oedem Drop,20,ml,295,228,ADEL,4.599999905,17,ear,/otc/adel-33-apo-oedem-drop-otc327728
ADEL 36 Pollon Drop,20,ml,295,248,ADEL,4.199999809,83,blood,/otc/adel-36-pollon-drop-otc325883
ADEL 43 Cardinorma Drop,20,ml,295,243,ADEL,4.599999905,8,ear,/otc/adel-43-cardinorma-drop-otc327725
ADEL 44 Venorbis Drop,20,ml,295,255,ADEL,4.400000095,40,ear,/otc/adel-44-venorbis-drop-otc326083
ADEL 5 Apo-Stom Drop,20,ml,295,243,ADEL,4.400000095,52,ear,/otc/adel-5-apo-stom-drop-otc326118
ADEL 51 Psy-Stabil Drop,20,ml,295,259,ADEL,4.400000095,69,ear,/otc/adel-51-psy-stabil-drop-otc327724
ADEL 6 Apo-Strum Drop,20,ml,295,259,ADEL,4.5,54,thyroid,/otc/adel-6-apo-strum-drop-otc326117
ADEL 66 Toxex Drop,20,ml,295,246,ADEL,4.5,76,liver,/otc/adel-66-toxex-drop-otc326069
ADEL 73 Mucan Drop,20,ml,295,246,ADEL,4,24,ear,/otc/adel-73-mucan-drop-otc326062
ADEL 78 Dercut Ointment,35,gm,510,459,ADEL,3.900000095,18,skin,/otc/adel-78-dercut-ointment-otc326056
ADEL 79 Ferrodona Tonic,250,ml,860,774,ADEL,4.699999809,22,blood,/otc/adel-79-ferrodona-tonic-otc327719
ADEL 83 Bronchi-Pertu Syrup,150,ml,485,389,ADEL,4.300000191,33,eye,/otc/adel-83-bronchi-pertu-syrup-otc326054
ADEL 86 Verintex N External Drop,20,ml,295,238,ADEL,0,0,skin,/otc/adel-86-verintex-n-external-drop-otc326149
ADEL 9 Cri-Regen Drop,20,ml,295,246,ADEL,4.199999809,51,hair,/otc/adel-9-cri-regen-drop-otc326114
ADEL Acid Fluor Dilution 200,10,ml,165,141,ADEL,4.400000095,11,blood,/otc/adel-acid-fluor-dilution-200-otc332656
ADEL Acid Phos Mother Tincture Q,20,ml,270,243,ADEL,4.400000095,20,hair,/otc/adel-acid-phos-mother-tincture-q-otc327070
ADEL Arnica Montana Mother Tincture Q,20,ml,300,270,ADEL,0,0,eye,/otc/adel-arnica-montana-mother-tincture-q-otc328792
