,Name,size,MRP,price,url
0,Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,₹210,₹179,/otc/dr-willmar-schwabe-india-berberis-aquifolium-mother-tincture-q-otc390797
1,SBL Arnica Montana Herbal Shampoo with TJC,bottle of 200 ml Shampoo,₹160,₹129,/otc/sbl-arnica-montana-herbal-shampoo-with-tjc-otc329025
2,SBL Jaborandi Hair Oil,bottle of 200 ml Oil,₹255,₹208,/otc/sbl-jaborandi-hair-oil-otc329035
3,SBL Cineraria Maritima 10% Eye Drop,bottle of 10 ml Eye Drop,₹130,₹109,/otc/sbl-cineraria-maritima-10-eye-drop-otc329014
4,Bjain Guatteria Gaumeri Drop,bottle of 30 ml Drop,₹345,₹283,/otc/bjain-guatteria-gaumeri-drop-otc327159
5,SBL Sarracenia Purpurea Dilution 1000 CH,bottle of 30 ml Dilution,₹135,₹112,/otc/sbl-sarracenia-purpurea-dilution-1000-ch-otc358168
6,Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹185,₹156,/otc/dr.-reckeweg-calcarea-phosphorica-biochemic-tablet-6x-otc325463
7,Dr. Reckeweg R41 Sexual Neurasthenia Drop,bottle of 22 ml Drop,₹270,₹238,/otc/dr.-reckeweg-r41-sexual-neurasthenia-drop-otc327434
8,Dr. Reckeweg R89 Hair Care Drop,bottle of 30 ml Drop,₹310,₹264,/otc/dr.-reckeweg-r89-hair-care-drop-otc326064
9,Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹170,₹145,/otc/dr-willmar-schwabe-india-thyroidinum-trituration-tablet-3x-otc324953
10,SBL Stobal Cough Syrup,bottle of 180 ml Syrup,₹165,₹143,/otc/sbl-stobal-cough-syrup-otc328988
11,Dr. Reckeweg Berberis Vul Mother Tincture Q,bottle of 20 ml Mother Tincture,₹255,₹225,/otc/dr.-reckeweg-berberis-vul-mother-tincture-q-otc327784
