,Name,benefit_area
0,Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,"{'eye', 'legs', 'skin', 'face', 'eyes', 'ear'}"
1,SBL Arnica Montana Herbal Shampoo with TJC,{'hair'}
2,SBL Jaborandi Hair Oil,{'hair'}
3,SBL Cineraria Maritima 10% Eye Drop,set()
4,Bjain Guatteria Gaumeri Drop,{'blood'}
5,SBL Sarracenia Purpurea Dilution 1000 CH,"{'skin', 'eye', 'eyes'}"
6,Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,{'bone'}
7,Dr. Reckeweg R41 Sexual Neurasthenia Drop,set()
8,Dr. Reckeweg R89 Hair Care Drop,{'hair'}
9,Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,{'thyroid'}
10,SBL Stobal Cough Syrup,set()
11,Dr. Reckeweg Berberis Vul Mother Tincture Q,"{'skin', 'legs', 'kidney'}"
12,Dr. Reckeweg R73 Joint Pain Drop,{'bone'}
13,Bakson's Y-Lax Tablet,set()
14,Dr Willmar Schwabe India Damiaplant Drop,set()
15,Bakson's Aller Aid Tablet,{'ear'}
16,SBL Scalptone Tablet,{'hair'}
17,SBL Clearstone Drop,{'kidney'}
18,Bhargava Spondin Drop,set()
19,Bakson's Aller Aid Tablet,{'ear'}
20,Dr. Reckeweg R13 Hemorrhoidal Drop,set()
21,SBL Nux Vomica Dilution 30 CH,"{'eye', 'eyes'}"
22,Dr. Reckeweg R5 Stomach and Digestion Drop,{'stomach'}
23,Bakson's Throat Aid Tablet,"{'ear', 'nose'}"
24,SBL Berberis Vulgaris Mother Tincture Q,"{'skin', 'ear', 'legs', 'kidney'}"
25,SBL Berberis Aquifolium Gel,"{'skin', 'ear', 'face'}"
26,SBL Arnica Montana Dilution 200 CH,"{'eye', 'eyes'}"
27,SBL Tonicard Gold Drop Homeopathic Medicine,set()
28,SBL Kali Phosphoricum Biochemic Tablet 6X,"{'skin', 'blood'}"
29,SBL Calcarea Fluorica Biochemic Tablet 6X,"{'thyroid', 'skin', 'bone', 'ear', 'blood'}"
30,Bakson's Homoeopathic Formula 'D' Tablet,"{'skin', 'bone'}"
31,Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,"{'liver', 'blood'}"
32,SBL Syzygium Jambolanum Mother Tincture Q,"{'skin', 'blood', 'stomach'}"
33,Dr. Reckeweg R25 Prostatitis Drop,set()
34,Dr. Reckeweg R71 Sciatica Drop,set()
35,Bakson's Throat Aid Tablet,"{'ear', 'nose'}"
36,Dr. Reckeweg R59 Weight Loss,{'thyroid'}
37,Dr. Reckeweg R7 Liver and Gallbladder Drop,{'liver'}
38,SBL Calcarea Phosphorica Biochemic Tablet 6X,{'bone'}
39,Dr. Reckeweg R11 Rheumatism Drop,{'bone'}
40,SBL Arsenicum Album Dilution 30 CH,set()
41,Dr. Reckeweg R65 Psoriasis Drop,{'skin'}
42,SBL Prostonum Drop,set()
43,Dr. Reckeweg R42 Varicosis Drop,{'legs'}
44,SBL Nux Vomica Dilution 200 CH,"{'eye', 'eyes'}"
45,SBL Jaborandi Mother Tincture Q,"{'hair', 'thyroid'}"
46,Dr. Reckeweg R49 Sinus Drop,set()
47,Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,set()
48,SBL Liv T Tonic,set()
49,Bakson's Rheum Aid Tablet,set()
50,SBL Thuja Occidentalis Dilution 200 CH,"{'skin', 'face'}"
51,SBL Bio-Combination 6 Tablet,{'nose'}
52,SBL Alfalfa Tonic with Ginseng,set()
53,Dr. Reckeweg R84 Inhalent Allergy Drop,set()
54,SBL Chelidonium Majus Mother Tincture Q,"{'eye', 'skin', 'liver', 'eyes', 'stomach'}"
