,Name,Ingredients
0,Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,Berberis Aquifolium
1,SBL Arnica Montana Herbal Shampoo with TJC,
2,SBL Jaborandi Hair Oil, 
3,SBL Cineraria Maritima 10% Eye Drop,
4,Bjain Guatteria Gaumeri Drop, 
5,SBL Sarracenia Purpurea Dilution 1000 CH,
6,Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,
7,Dr. Reckeweg R41 Sexual Neurasthenia Drop,Use as directed on the label or as advised by the physician
8,Dr. Reckeweg R89 Hair Care Drop,Use as directed on the label or as advised by the physician.
9,Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,
10,SBL Stobal Cough Syrup,"Pulsatilla Nigricans 3, Justicia Adhatoda 3x, Rumex Crispus 3x, Ipecacuanha 3"
11,Dr. Reckeweg Berberis Vul Mother Tincture Q,
12,Dr. Reckeweg R73 Joint Pain Drop,Use as directed on the label or as advised by the physician.
13,Bakson's Y-Lax Tablet,"Adults should take 2 Bakson’s Y-Lax tablets and children should take one tablet at bedtime after meals or, as directed by the physician."
14,Dr Willmar Schwabe India Damiaplant Drop,
15,Bakson's Aller Aid Tablet,"Ferrum Phos. 3x, Natrum Mur. 6x, Kali Sulph. 3x, Kali Mur. 3x, Baptisia Tinc. 4x, Bryonia Alba 4x, Causticum 6x, Eucalyptus Gl. 3x, Gelsemium Sep. 6x, Sabadilla 6x, Eupatorium Perf. 3x"
16,SBL Scalptone Tablet,
17,SBL Clearstone Drop,
18,Bhargava Spondin Drop,
19,Bakson's Aller Aid Tablet,"Ferrum Phos. 3x, Natrum Mur. 6x, Kali Sulph. 3x, Kali Mur. 3x, Baptisia Tinc. 4x, Bryonia Alba 4x, Causticum 6x, Eucalyptus Gl. 3x, Gelsemium Sep. 6x, Sabadilla 6x, Eupatorium Perf. 3x"
20,Dr. Reckeweg R13 Hemorrhoidal Drop, 
21,SBL Nux Vomica Dilution 30 CH,
22,Dr. Reckeweg R5 Stomach and Digestion Drop, 
23,Bakson's Throat Aid Tablet,
24,SBL Berberis Vulgaris Mother Tincture Q,
25,SBL Berberis Aquifolium Gel,
26,SBL Arnica Montana Dilution 200 CH,
27,SBL Tonicard Gold Drop Homeopathic Medicine,
28,SBL Kali Phosphoricum Biochemic Tablet 6X,
29,SBL Calcarea Fluorica Biochemic Tablet 6X,
30,Bakson's Homoeopathic Formula 'D' Tablet,
31,Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine, 
32,SBL Syzygium Jambolanum Mother Tincture Q,As directed by the physician
33,Dr. Reckeweg R25 Prostatitis Drop,Use as directed on the label or as advised by your healthcare professional.
34,Dr. Reckeweg R71 Sciatica Drop,Use as directed on the label or as advised by the physician.
35,Bakson's Throat Aid Tablet,
36,Dr. Reckeweg R59 Weight Loss, 
37,Dr. Reckeweg R7 Liver and Gallbladder Drop,
38,SBL Calcarea Phosphorica Biochemic Tablet 6X,
39,Dr. Reckeweg R11 Rheumatism Drop, 
40,SBL Arsenicum Album Dilution 30 CH,
41,Dr. Reckeweg R65 Psoriasis Drop,Use as directed on the label or as advised by the physician.
42,SBL Prostonum Drop,
43,Dr. Reckeweg R42 Varicosis Drop, 
44,SBL Nux Vomica Dilution 200 CH,
45,SBL Jaborandi Mother Tincture Q,Take 10 drops of SBL Jaborandi Mother Tincture diluted with half cup of water thrice a day or as directed by the physician.
46,Dr. Reckeweg R49 Sinus Drop, 
47,Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,
48,SBL Liv T Tonic,
49,Bakson's Rheum Aid Tablet,It soothes pain in muscle joints and relieve muscle weakness and fatigue
50,SBL Thuja Occidentalis Dilution 200 CH,
51,SBL Bio-Combination 6 Tablet,
52,SBL Alfalfa Tonic with Ginseng,
53,Dr. Reckeweg R84 Inhalent Allergy Drop,Use as directed on the label or as advised by the physician.
54,SBL Chelidonium Majus Mother Tincture Q,Chelidonium Majus
55,Dr. Reckeweg R82 Anti Fungal Drop,Use as directed on the label or as advised by the physician.
56,Bakson's Homoeopathic Formula 'D' Tablet,
57,SBL Dibonil Drop,
58,Bakson's Pilgo Tablet,
59,Dr. Reckeweg R9 Cough Drop, 
60,SBL Arnica Montana Dilution 30 CH,
61,SBL Rhus Toxicodendron Dilution 200 CH,
62,SBL Hydrastis Canadensis Mother Tincture Q,
63,Allen A84 Lipoma Drop,
64,SBL Damiagra Forte Drop,
65,Dr. Reckeweg R27 Renal Calculi Drop,Use as directed on the label or as advised by your healthcare professional.
66,Dr. Reckeweg Ashwagandha Mother Tincture Q,Ashwagandha 
67,Dr Willmar Schwabe India Cydonia Vulgaris Mother Tincture Q,Cydonia Vulgaris 
68,Dr. Reckeweg R16 Migraine and Neuralgia Drop, 
69,SBL Bryonia Alba Dilution 30 CH,
70,SBL FP-Tabs Tablet,"Ratanhia 3x, Hamamelis virginica 3x, Aesculus hippocastanum 3x, Aloe socotrina 3x, Calcarea fluorica 3x"
71,SBL Berberis Aquifolium Mother Tincture Q,
