,Name,Rating,Num_rating
0,Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,4.3,369 ratings
1,SBL Arnica Montana Herbal Shampoo with TJC,4.4,326 ratings
2,SBL Jaborandi Hair Oil,4.4,116 ratings
3,SBL Cineraria Maritima 10% Eye Drop,4.5,94 ratings
4,Bjain Guatteria Gaumeri Drop,4.6,119 ratings
5,SBL Sarracenia Purpurea Dilution 1000 CH,4.8,16 ratings
6,Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,4.7,414 ratings
7,Dr. Reckeweg R41 Sexual Neurasthenia Drop,4,460 ratings
8,Dr. Reckeweg R89 Hair Care Drop,4.2,600 ratings
9,Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,4.6,147 ratings
10,SBL Stobal Cough Syrup,4.6,518 ratings
11,Dr. Reckeweg Berberis Vul Mother Tincture Q,4.5,295 ratings
12,Dr. Reckeweg R73 Joint Pain Drop,4.5,290 ratings
13,Bakson's Y-Lax Tablet,4.5,298 ratings
14,Dr Willmar Schwabe India Damiaplant Drop,4,275 ratings
15,Bakson's Aller Aid Tablet,4.4,264 ratings
16,SBL Scalptone Tablet,4.3,139 ratings
17,SBL Clearstone Drop,4.4,421 ratings
18,Bhargava Spondin Drop,4.6,505 ratings
19,Bakson's Aller Aid Tablet,4.4,264 ratings
20,Dr. Reckeweg R13 Hemorrhoidal Drop,4.4,294 ratings
21,SBL Nux Vomica Dilution 30 CH,4.6,899 ratings
22,Dr. Reckeweg R5 Stomach and Digestion Drop,4.5,288 ratings
23,Bakson's Throat Aid Tablet,4.3,217 ratings
24,SBL Berberis Vulgaris Mother Tincture Q,4.6,334 ratings
25,SBL Berberis Aquifolium Gel,4.3,312 ratings
26,SBL Arnica Montana Dilution 200 CH,4.6,805 ratings
27,SBL Tonicard Gold Drop Homeopathic Medicine,4.7,345 ratings
28,SBL Kali Phosphoricum Biochemic Tablet 6X,4.6,432 ratings
29,SBL Calcarea Fluorica Biochemic Tablet 6X,4.5,475 ratings
30,Bakson's Homoeopathic Formula 'D' Tablet,4,160 ratings
31,Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,4.6,243 ratings
32,SBL Syzygium Jambolanum Mother Tincture Q,4.6,428 ratings
33,Dr. Reckeweg R25 Prostatitis Drop,4.5,266 ratings
34,Dr. Reckeweg R71 Sciatica Drop,4.4,282 ratings
35,Bakson's Throat Aid Tablet,4.3,217 ratings
36,Dr. Reckeweg R59 Weight Loss,4.1,186 ratings
37,Dr. Reckeweg R7 Liver and Gallbladder Drop,4.7,217 ratings
38,SBL Calcarea Phosphorica Biochemic Tablet 6X,4.6,372 ratings
39,Dr. Reckeweg R11 Rheumatism Drop,4.5,184 ratings
40,SBL Arsenicum Album Dilution 30 CH,4.6,481 ratings
41,Dr. Reckeweg R65 Psoriasis Drop,4.4,156 ratings
42,SBL Prostonum Drop,4.5,344 ratings
43,Dr. Reckeweg R42 Varicosis Drop,4.3,194 ratings
44,SBL Nux Vomica Dilution 200 CH,4.6,899 ratings
45,SBL Jaborandi Mother Tincture Q,4.3,214 ratings
46,Dr. Reckeweg R49 Sinus Drop,4.6,153 ratings
47,Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,4.5,225 ratings
48,SBL Liv T Tonic,4.5,285 ratings
49,Bakson's Rheum Aid Tablet,4.6,75 ratings
50,SBL Thuja Occidentalis Dilution 200 CH,4.4,436 ratings
51,SBL Bio-Combination 6 Tablet,4.7,226 ratings
52,SBL Alfalfa Tonic with Ginseng,4.4,329 ratings
53,Dr. Reckeweg R84 Inhalent Allergy Drop,4.5,129 ratings
54,SBL Chelidonium Majus Mother Tincture Q,4.5,284 ratings
55,Dr. Reckeweg R82 Anti Fungal Drop,4.2,183 ratings
56,Bakson's Homoeopathic Formula 'D' Tablet,4,160 ratings
57,SBL Dibonil Drop,4.5,281 ratings
58,Bakson's Pilgo Tablet,4.3,126 ratings
59,Dr. Reckeweg R9 Cough Drop,4.5,158 ratings
60,SBL Arnica Montana Dilution 30 CH,4.6,805 ratings
